"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.156117640207052	-0.0597419706712674	0.113653550162651	0.068666372843836	0.496019101318963	0.132617674928143	0.520349996941037	NA	"abundance"	65	59
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.174257984504725	-0.0597419706712674	0.11155988244685	0.0448491783723928	0.496019101318963	0.0876869079441068	0.520349996941037	NA	"abundance"	65	60
"PWY-6123: inosine-5'-phosphate biosynthesis I"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.130892663732823	-0.0597419706712674	0.081714554852679	0.0292245699302592	0.496019101318963	0.0575950643729099	0.520349996941037	NA	"abundance"	65	59
"PWY-6124: inosine-5'-phosphate biosynthesis II"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.0990661995488407	-0.0597419706712674	0.0805469548786032	0.0647654355315291	0.496019101318963	0.12533630942347	0.520349996941037	NA	"abundance"	65	58
"PWY-6163: chorismate biosynthesis from 3-dehydroquinate"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.110722889618375	-0.0597419706712674	0.092969494936865	0.0822994629037561	0.496019101318963	0.157825724213266	0.520349996941037	NA	"abundance"	65	60
"PWY-6168: flavin biosynthesis III (fungi)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.0785133962337325	-0.0597419706712674	0.0798140589465951	0.103071147462561	0.496019101318963	0.195518633485873	0.520349996941037	NA	"abundance"	65	57
"PWY-6215: 4-chlorobenzoate degradation"	"tbClass"	"Unlikely"	"tbClassUnlikely"	-1.05333133401672	-0.0597419706712674	0.66482748699895	0.147917591271113	0.496019101318963	0.273955568734778	0.520349996941037	NA	"abundance"	65	27
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.174257984504725	-0.0597419706712674	0.11155988244685	0.0448359431963023	0.496019101318963	0.0876616245903026	0.520349996941037	NA	"abundance"	65	60
"PWY-6313: serotonin degradation"	"tbClass"	"Unlikely"	"tbClassUnlikely"	-0.724339409649969	-0.0597419706712674	0.411501580981913	0.118035121562664	0.496019101318963	0.222137953203015	0.520349996941037	NA	"abundance"	65	30
"PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.0737769236603225	-0.0597419706712674	0.089272546565809	0.155477233563597	0.496019101318963	0.1559672386901	0.520349996941037	NA	"abundance"	65	60
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.116518043103078	-0.0597419706712674	0.0905392468203296	0.065945198233651	0.496019101318963	0.127541627297227	0.520349996941037	NA	"abundance"	65	61
"PWY-6565: superpathway of polyamine biosynthesis III"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.640898915252448	-0.0597419706712674	0.429939313367543	0.112418710621807	0.496019101318963	0.212199454745744	0.520349996941037	NA	"abundance"	65	38
"PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.68129267556582	-0.0597419706712674	0.333311520580426	0.0332349311777831	0.496019101318963	0.0653653017051742	0.520349996941037	NA	"abundance"	65	37
"PWY-6595: superpathway of guanosine nucleotides degradation (plants)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.801445036251648	-0.0597419706712674	0.585446509590135	0.148437579249173	0.496019101318963	0.18585468091556	0.520349996941037	NA	"abundance"	65	49
"PWY-6596: adenosine nucleotides degradation I"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.65400715464055	-0.0597419706712674	0.478563390058327	0.142774670492671	0.496019101318963	0.18585468091556	0.520349996941037	NA	"abundance"	65	49
"PWY-6609: adenine and adenosine salvage III"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.181286462158857	-0.0597419706712674	0.1020236885822	0.0251799638558179	0.496019101318963	0.0497258971318555	0.520349996941037	NA	"abundance"	65	60
"PWY-6700: queuosine biosynthesis I (de novo)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.10036411614566	-0.0597419706712674	0.105980508478323	0.146491860055743	0.496019101318963	0.271523855048894	0.520349996941037	NA	"abundance"	65	59
"PWY-6731: starch degradation III"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.58807979041328	-0.0597419706712674	0.343780703263727	0.0658272649146716	0.496019101318963	0.127321301023197	0.520349996941037	NA	"abundance"	65	54
"PWY-6897: thiamine diphosphate salvage II"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.239025083732959	-0.0597419706712674	0.112382473772737	0.0119071826455275	0.496019101318963	0.0236725842925011	0.520349996941037	NA	"abundance"	65	61
"PWY-6920: 6-gingerol analog biosynthesis (engineered)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.694458433921563	-0.0597419706712674	0.401990142984833	0.0739161153858661	0.496019101318963	0.142368638657996	0.520349996941037	NA	"abundance"	65	25
"PWY-6922: L-N&delta;-acetylornithine biosynthesis"	"tbClass"	"Unlikely"	"tbClassUnlikely"	-0.804483722316467	-0.0597419706712674	0.436532582993496	0.0950069855065729	0.496019101318963	0.1809876437181	0.520349996941037	NA	"abundance"	65	50
"PWY-6936: seleno-amino acid biosynthesis (plants)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.0965215720221118	-0.0597419706712674	0.0923369914534779	0.107180700106192	0.496019101318963	0.148050715257361	0.520349996941037	NA	"abundance"	65	58
"PWY-6953: dTDP-3-acetamido-&alpha;-D-fucose biosynthesis"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.04562125940726	-0.0597419706712674	0.641559140949577	0.0938769384835465	0.496019101318963	0.178940997388049	0.520349996941037	NA	"abundance"	65	37
"PWY-7090: UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.846892207343016	-0.0597419706712674	0.502886873815818	0.0875241921882448	0.496019101318963	0.167387900158285	0.520349996941037	NA	"abundance"	65	21
"PWY-7165: L-ascorbate biosynthesis VIII (engineered pathway)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	-1.59065100020898	-0.0597419706712674	0.850872499226431	0.0871295754902925	0.496019101318963	0.166667588055466	0.520349996941037	NA	"abundance"	65	22
"PWY-7221: guanosine ribonucleotides de novo biosynthesis"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.120717427519791	-0.0597419706712674	0.119884500606643	0.145506184703507	0.496019101318963	0.269840319620043	0.520349996941037	NA	"abundance"	65	61
"PWY-7269: mitochondrial NADPH production (yeast)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.08938041236353	-0.0597419706712674	0.679355473011767	0.103760431093434	0.496019101318963	0.196754635126173	0.520349996941037	NA	"abundance"	65	27
"PWY-7316: dTDP-N-acetylviosamine biosynthesis"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.892012366726597	-0.0597419706712674	0.496092696957761	0.0629813019540277	0.496019101318963	0.121995959512231	0.520349996941037	NA	"abundance"	65	40
"PWY-7332: superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.721471754747938	-0.0597419706712674	0.39194940001787	0.0570157185469727	0.496019101318963	0.110780644932518	0.520349996941037	NA	"abundance"	65	29
"PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.279524856542667	-0.0597419706712674	0.118111294531348	0.00683544284720378	0.496019101318963	0.0136241624154902	0.520349996941037	NA	"abundance"	65	61
"PWY-7400: L-arginine biosynthesis IV (archaebacteria)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.150527313929879	-0.0597419706712674	0.0985730262267483	0.0433576323581441	0.496019101318963	0.0848353804325843	0.520349996941037	NA	"abundance"	65	59
"PWY-7790: UMP biosynthesis II"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.111256370823078	-0.0597419706712674	0.117029643939714	0.157905197214867	0.496019101318963	0.290876343122268	0.520349996941037	NA	"abundance"	65	60
"PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.151113782953201	-0.0597419706712674	0.0755426929991112	0.0104691118759762	0.496019101318963	0.0208286214484808	0.520349996941037	NA	"abundance"	65	60
"PYRIDNUCSAL-PWY: NAD salvage pathway I (PNC VI cycle)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.370948068052458	-0.0597419706712674	0.173874457590917	0.0173982243357334	0.496019101318963	0.0344937504614303	0.520349996941037	NA	"abundance"	65	57
"RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.105121217742852	-0.0597419706712674	0.0970917649804915	0.106255369769535	0.496019101318963	0.201220535934209	0.520349996941037	NA	"abundance"	65	57
"UNINTEGRATED"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.135705858252236	-0.0597419706712674	0.130909317607921	0.146946501044376	0.496019101318963	0.272299727919568	0.520349996941037	NA	"abundance"	65	61
"URSIN-PWY: ureide biosynthesis"	"tbClass"	"Unlikely"	"tbClassUnlikely"	-1.52338849317722	-0.0597419706712674	0.728926031978773	0.0556253986547637	0.496019101318963	0.108156612334026	0.520349996941037	NA	"abundance"	65	27
"ALL-CHORISMATE-PWY: superpathway of chorismate metabolism"	"tbClass"	"Unlikely"	"tbClassUnlikely"	-0.889374642547338	0	0.534460989757988	0.0961006310522184	0.496019101318963	0.182965930815802	0.520349996941037	NA	"prevalence"	65	23
"ANAEROFRUCAT-PWY: homolactic fermentation"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.28621351134957	0	0.907706197492539	0.156484914983747	0.496019101318963	0.0139675350882251	0.520349996941037	NA	"prevalence"	65	59
"ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.28621351134957	0	0.907706197492539	0.156484914983747	0.496019101318963	0.288482301350024	0.520349996941037	NA	"prevalence"	65	59
"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.28621351137171	0	0.907706969460364	0.156485267313698	0.496019101318963	0.0773602829245429	0.520349996941037	NA	"prevalence"	65	59
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.28621351136267	0	0.907707488351425	0.156485504145865	0.496019101318963	0.0873147264863946	0.520349996941037	NA	"prevalence"	65	59
"ARO-PWY: chorismate biosynthesis I"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.28621351136267	0	0.907707488351425	0.156485504145865	0.496019101318963	0.133766036846536	0.520349996941037	NA	"prevalence"	65	59
"BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.38476000883109	0	0.772900697285235	0.073190609147211	0.496019101318963	0.141024353027082	0.520349996941037	NA	"prevalence"	65	56
"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.28621351137171	0	0.907706969460364	0.156485267313698	0.496019101318963	0.288482895741157	0.520349996941037	NA	"prevalence"	65	59
"CALVIN-PWY: Calvin-Benson-Bassham cycle"	"tbClass"	"Unlikely"	"tbClassUnlikely"	2.00532214702504	0	1.1503258858826	0.0812874435875496	0.496019101318963	0.1559672386901	0.520349996941037	NA	"prevalence"	65	60
"COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.04452295301252	0	0.705034089296026	0.138467738767622	0.496019101318963	0.257762162855825	0.520349996941037	NA	"prevalence"	65	55
"COLANSYN-PWY: colanic acid building blocks biosynthesis"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.55814101241259	0	0.881086283002117	0.0769887421806547	0.496019101318963	0.14805021793875	0.520349996941037	NA	"prevalence"	65	58
"COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.55814101242798	0	0.881087086506002	0.0769890115807727	0.496019101318963	0.148050715257361	0.520349996941037	NA	"prevalence"	65	58
"DAPLYSINESYN-PWY: L-lysine biosynthesis I"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.3596270143384	0	0.761353260892489	0.0741311444490927	0.496019101318963	0.142766862320853	0.520349996941037	NA	"prevalence"	65	56
"DARABCATK12-PWY: D-arabinose degradation I"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.09712978354675	0	0.717239798131081	0.126102030347267	0.496019101318963	0.236302338636831	0.520349996941037	NA	"prevalence"	65	55
"FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	2.27726755721642	0	1.12944178250828	0.0437710122679689	0.496019101318963	0.00886726572927158	0.520349996941037	NA	"prevalence"	65	59
"FERMENTATION-PWY: mixed acid fermentation"	"tbClass"	"Unlikely"	"tbClassUnlikely"	2.27726755721642	0	1.12944178250828	0.0437710122679689	0.496019101318963	0.0856261230209752	0.520349996941037	NA	"prevalence"	65	59
"FUCCAT-PWY: fucose degradation"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.12600822652589	0	0.78125556029967	0.149505518357618	0.496019101318963	0.276659136695857	0.520349996941037	NA	"prevalence"	65	57
"GALACTARDEG-PWY: D-galactarate degradation I"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.04452295308111	0	0.705034471076499	0.138467952357812	0.496019101318963	0.257762530885458	0.520349996941037	NA	"prevalence"	65	55
"GALLATE-DEGRADATION-I-PWY: gallate degradation II"	"tbClass"	"Unlikely"	"tbClassUnlikely"	-0.767291180740204	0	0.528492365669313	0.146543559998578	0.496019101318963	0.271612105020099	0.520349996941037	NA	"prevalence"	65	24
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.1260082265637	0	0.781255668534666	0.149505574731801	0.496019101318963	0.276659232587715	0.520349996941037	NA	"prevalence"	65	57
"GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.04452295308111	0	0.705034471076499	0.138467952357812	0.496019101318963	0.257762530885458	0.520349996941037	NA	"prevalence"	65	55
"GLUCONEO-PWY: gluconeogenesis I"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.28621351134957	0	0.907706197492539	0.156484914983747	0.496019101318963	0.288482301350024	0.520349996941037	NA	"prevalence"	65	59
"GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.810931571948933	0	0.574335472124267	0.157965400670392	0.496019101318963	0.0310297344527631	0.520349996941037	NA	"prevalence"	65	48
"GLYCOCAT-PWY: glycogen degradation I"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.28621351134957	0	0.907706197492539	0.156484914983747	0.496019101318963	0.288482301350024	0.520349996941037	NA	"prevalence"	65	59
"GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.28621351134957	0	0.907706197492539	0.156484914983747	0.496019101318963	0.245327336016942	0.520349996941037	NA	"prevalence"	65	59
"GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.38476199100048	0	0.772902588972477	0.0731909009500289	0.496019101318963	0.141024893918181	0.520349996941037	NA	"prevalence"	65	56
"GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.04452295308111	0	0.705034471076499	0.138467952357812	0.496019101318963	0.257762530885458	0.520349996941037	NA	"prevalence"	65	55
"GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.28621351134957	0	0.907706197492539	0.156484914983747	0.496019101318963	0.0213411461725709	0.520349996941037	NA	"prevalence"	65	59
"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.35962701436117	0	0.761352252485704	0.0741307613371882	0.496019101318963	0.142766152897945	0.520349996941037	NA	"prevalence"	65	56
"HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.06691325237723	0	0.635785472148559	0.0933270717242135	0.496019101318963	0.17794420113181	0.520349996941037	NA	"prevalence"	65	51
"HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.99997621375724	0	0.851309382025958	0.018809037448005	0.496019101318963	0.0372642950062896	0.520349996941037	NA	"prevalence"	65	56
"HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.02536873853098	0	0.662494319259692	0.121684987098402	0.496019101318963	0.228562738111666	0.520349996941037	NA	"prevalence"	65	53
"HISTSYN-PWY: L-histidine biosynthesis"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.12600822652589	0	0.78125556029967	0.149505518357618	0.496019101318963	0.231477654683875	0.520349996941037	NA	"prevalence"	65	57
"KETOGLUCONMET-PWY: ketogluconate metabolism"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.09712978354314	0	0.717240679907196	0.126102496081129	0.496019101318963	0.236303152644366	0.520349996941037	NA	"prevalence"	65	55
"LACTOSECAT-PWY: lactose and galactose degradation I"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.04452295301252	0	0.705034089296026	0.138467738767622	0.496019101318963	0.257762162855825	0.520349996941037	NA	"prevalence"	65	55
"NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.55814101241259	0	0.881086283002117	0.0769887421806547	0.496019101318963	0.14805021793875	0.520349996941037	NA	"prevalence"	65	58
"NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.55814101242798	0	0.881087086506002	0.0769890115807727	0.496019101318963	0.148050715257361	0.520349996941037	NA	"prevalence"	65	58
